customer_id,gender,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,churn,source
K409198,Male,7,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit Card (automatic),172.46,No,WGU
S120509,Female,1,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank Transfer(automatic),242.63,Yes,WGU
K191035,Female,16,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Credit Card (automatic),159.95,No,WGU
D90850,Male,17,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Mailed Check,119.96,No,WGU
K662701,Male,2,No,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed Check,149.95,Yes,WGU
W303516,Female,7,Yes,Yes,None,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic Check,185.01,No,WGU
U335188,Male,13,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic Check,200.12,Yes,WGU
V538685,Female,4,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed Check,114.95,Yes,WGU
M716771,Nonbinary,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank Transfer(automatic),117.47,No,WGU
I676080,Female,3,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed Check,162.48,No,WGU
J980369,Female,19,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed Check,174.96,No,WGU
E243720,Female,11,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic Check,149.96,No,WGU
F139569,Male,13,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-to-month,No,Bank Transfer(automatic),137.44,No,WGU
X44200,Female,17,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank Transfer(automatic),184.97,No,WGU
H68068,Male,10,No,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank Transfer(automatic),159.97,Yes,WGU
A403906,Male,14,Yes,No,None,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic Check,177.65,Yes,WGU
V847470,Female,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank Transfer(automatic),194.97,Yes,WGU
F721878,Male,2,Yes,No,None,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed Check,202.68,Yes,WGU
F487435,Female,17,Yes,No,None,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank Transfer(automatic),152.49,No,WGU
B561228,Male,13,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit Card (automatic),149.94,Yes,WGU
X325271,Male,20,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank Transfer(automatic),184.98,No,WGU
I282896,Male,2,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Two year,No,Bank Transfer(automatic),127.5,No,WGU
I367206,Male,7,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic Check,124.96,No,WGU
N37182,Male,9,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic Check,149.95,No,WGU
U644626,Female,6,Yes,Yes,None,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit Card (automatic),162.51,Yes,WGU
A766555,Male,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank Transfer(automatic),92.46,Yes,WGU
